City,Model,Parameters,MAE,MSE,RMSE,MAPE
Annan,VMD+FAN,"K:5,alpha:3000,tau:1e-06,DC:False,tol:1e-07,window_size:12, learning_rate:1e-05, p_ratio:0.15, fan_units:64, forecast_horizon:1",3.115713861925807,19.12418847053679,4.373121136046518,6.000504626322187
Annan,VMD+FAN,"K:5,alpha:1000,tau:1e-06,DC:False,tol:1e-05,window_size:12, learning_rate:1e-05, p_ratio:0.15, fan_units:64, forecast_horizon:1",2.7069111409151776,14.510734976412516,3.8092958635963834,5.1915774091563
Annan,VMD+FAN,"K:5,alpha:3000,tau:1e-06,DC:False,tol:1e-05,window_size:12, learning_rate:1e-05, p_ratio:0.15, fan_units:64, forecast_horizon:1",3.1157146033655296,19.12418851103038,4.3731211406763455,6.00050971815585
Annan,VMD+FAN,"K:5,alpha:1000,tau:1e-06,DC:False,tol:1e-07,window_size:12, learning_rate:0.0001, p_ratio:0.15, fan_units:64, forecast_horizon:1",0.9704321092958105,2.523381132497909,1.5885153862956156,2.0135989704078527
Annan,VMD+FAN,"K:5,alpha:3000,tau:1e-06,DC:False,tol:1e-07,window_size:12, learning_rate:0.0001, p_ratio:0.15, fan_units:64, forecast_horizon:1",1.5518010152461368,5.201221229914467,2.2806186068508842,3.112397656778688
Annan,VMD+FAN,"K:5,alpha:1000,tau:1e-06,DC:False,tol:1e-07,window_size:12, learning_rate:1e-05, p_ratio:0.25, fan_units:64, forecast_horizon:1",3.7457081419035037,28.26802015961367,5.316767830140194,6.832572964663141
Annan,VMD+FAN,"K:5,alpha:3000,tau:1e-06,DC:False,tol:1e-05,window_size:12, learning_rate:0.0001, p_ratio:0.15, fan_units:64, forecast_horizon:1",1.5518069080537462,5.201262025213046,2.2806275507441027,3.1124032673976507
Annan,VMD+FAN,"K:5,alpha:1000,tau:1e-06,DC:False,tol:1e-07,window_size:12, learning_rate:1e-05, p_ratio:0.15, fan_units:64, forecast_horizon:1",2.706912346064897,14.510746544333932,3.80929738197662,5.191579914160063
Annan,VMD+FAN,"K:5,alpha:3000,tau:1e-06,DC:False,tol:1e-05,window_size:12, learning_rate:0.0001, p_ratio:0.25, fan_units:64, forecast_horizon:1",1.7744611038524387,6.532266023223032,2.555829811083483,3.4726733455139716
Annan,VMD+FAN,"K:5,alpha:1000,tau:1e-06,DC:False,tol:1e-07,window_size:12, learning_rate:0.0001, p_ratio:0.25, fan_units:64, forecast_horizon:1",1.2177251617518523,3.4321687758092136,1.8526113396525494,2.4356036042687546
Annan,VMD+FAN,"K:7,alpha:1000,tau:1e-06,DC:False,tol:1e-05,window_size:12, learning_rate:1e-05, p_ratio:0.15, fan_units:64, forecast_horizon:1",2.5947058692115434,13.336429297756068,3.651907624482863,4.962826298182862
Annan,VMD+FAN,"K:7,alpha:1000,tau:1e-06,DC:False,tol:1e-05,window_size:12, learning_rate:0.0001, p_ratio:0.25, fan_units:64, forecast_horizon:1",1.0098665742456399,2.2632542525038097,1.5044115967725753,1.9941156887610139
Annan,VMD+FAN,"K:7,alpha:1000,tau:1e-06,DC:False,tol:1e-05,window_size:12, learning_rate:0.0001, p_ratio:0.15, fan_units:64, forecast_horizon:1",0.7176491167283198,1.3527249734638072,1.163067054586195,1.4953607765656762
Annan,VMD+FAN,"K:7,alpha:1000,tau:1e-06,DC:False,tol:1e-07,window_size:12, learning_rate:0.0001, p_ratio:0.15, fan_units:64, forecast_horizon:1",0.7176433562863628,1.3527043353895152,1.1630581822890527,1.4953539472476125
